ai_run_id,date_key,document_type_id,provider_id,task,document_role,status,is_success,is_error,error_stage,error_code,fallback_used,fallback_reason,confidence_score,confidence_band,intake_status,needs_review,missing_count,conflict_count,processing_ms,latency_is_simulated,is_retry,case_id
235,20260219,4,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,68
236,20260219,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,69
237,20260219,11,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,69
238,20260219,11,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,69
239,20260219,4,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,68
240,20260219,4,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,68
241,20260219,7,1,extraction,primary,success,1,0,,,0,,0.837,4. 0.80-0.89,Missing Information,1,1,0,668.4,1,0,70
242,20260219,7,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,382.7,1,0,70
243,20260219,3,1,extraction,primary,success,1,0,,,0,,0.83,4. 0.80-0.89,Complete,0,0,0,1572.4,1,0,71
244,20260219,3,1,category suggestion,primary,success,1,0,,,0,,0.85,4. 0.80-0.89,,0,,,335.1,1,0,71
245,20260219,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,71
246,20260220,1,1,extraction,primary,success,1,0,,,0,,0.928,5. >= 0.90,Complete,0,0,0,822.3,1,0,72
247,20260220,1,1,category suggestion,primary,success,1,0,,,0,,0.77,3. 0.70-0.79,,0,,,319.7,1,0,72
248,20260223,12,1,extraction,primary,success,1,0,,,0,,0.687,2. 0.60-0.69,Missing Information,1,1,0,3568.6,1,0,73
249,20260223,12,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,232.6,1,0,73
250,20260223,1,1,extraction,supporting,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,706.4,1,0,39
251,20260223,1,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,315.6,1,0,39
252,20260224,6,1,extraction,supporting,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,716.9,1,0,65
253,20260224,6,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,291.5,1,0,65
254,20260225,1,1,extraction,primary,success,1,0,,,0,,0.937,5. >= 0.90,Complete,0,0,0,980.2,1,0,74
255,20260225,1,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.85,4. 0.80-0.89,,0,,,6310.2,1,0,74
256,20260226,8,1,extraction,primary,success,1,0,,,0,,0.906,5. >= 0.90,Needs Review,1,0,1,534.0,1,0,75
257,20260226,8,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,305.8,1,0,75
258,20260227,1,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,1061.8,1,0,76
259,20260227,1,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,227.3,1,0,76
260,20260302,8,1,extraction,primary,success,1,0,,,0,,0.897,4. 0.80-0.89,Needs Review,1,0,1,571.8,1,0,77
261,20260302,8,1,category suggestion,primary,success,1,0,,,0,,0.87,4. 0.80-0.89,,0,,,293.6,1,0,77
262,20260302,8,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,77
263,20260302,11,1,extraction,primary,success,1,0,,,0,,0.92,5. >= 0.90,Complete,0,0,0,1862.9,1,0,78
264,20260302,11,1,category suggestion,primary,success,1,0,,,0,,0.7,3. 0.70-0.79,,0,,,357.7,1,0,78
265,20260302,3,1,extraction,supporting,success,1,0,,,0,,0.924,5. >= 0.90,Complete,0,0,0,1988.0,1,0,74
266,20260302,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,363.5,1,0,74
267,20260303,10,1,extraction,primary,success,1,0,,,0,,0.791,3. 0.70-0.79,Needs Review,1,0,0,3966.9,1,0,79
268,20260303,10,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,200.3,1,0,79
269,20260303,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1342.2,1,0,80
270,20260303,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,252.6,1,0,80
271,20260303,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,80
272,20260303,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,799.6,1,0,81
273,20260303,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,347.4,1,0,81
274,20260304,6,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,642.9,1,0,82
275,20260304,6,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,277.9,1,0,82
276,20260304,6,2,extraction,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.861,4. 0.80-0.89,Complete,0,0,0,6833.1,1,0,83
277,20260304,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,208.4,1,0,83
278,20260304,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,530.0,1,0,
279,20260304,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,265.1,1,0,
280,20260305,1,2,extraction,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.861,4. 0.80-0.89,Complete,0,0,0,6875.7,1,0,84
281,20260305,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,375.7,1,0,84
282,20260305,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,830.4,1,0,85
283,20260305,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,219.8,1,0,85
284,20260305,2,2,extraction,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.767,3. 0.70-0.79,Missing Information,1,1,0,8014.5,1,0,86
285,20260305,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,211.7,1,0,86
286,20260305,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,85
287,20260305,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,85
288,20260305,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,84
289,20260305,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,84
290,20260305,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,86
291,20260305,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,85
292,20260305,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,84
293,20260306,6,1,extraction,supporting,success,1,0,,,0,,0.937,5. >= 0.90,Complete,0,0,0,724.4,1,0,80
294,20260306,6,2,category suggestion,supporting,success,1,0,,,1,PROVIDER_TIMEOUT,0.85,4. 0.80-0.89,,0,,,6298.0,1,0,80
295,20260306,11,2,extraction,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.761,3. 0.70-0.79,Missing Information,1,1,0,8339.3,1,0,87
296,20260306,11,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,230.5,1,0,87
297,20260306,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,87
298,20260306,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1014.8,1,0,88
299,20260306,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,419.4,1,0,88
300,20260306,11,1,extraction,primary,success,1,0,,,0,,0.887,4. 0.80-0.89,Complete,0,0,0,2233.3,1,0,89
301,20260306,11,1,category suggestion,primary,success,1,0,,,0,,0.4,1. < 0.60,,0,,,401.6,1,0,89
302,20260306,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,88
303,20260306,3,1,extraction,primary,success,1,0,,,0,,0.922,5. >= 0.90,Complete,0,0,0,2095.9,1,0,90
304,20260306,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,245.8,1,0,90
305,20260306,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,90
306,20260306,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,90
307,20260308,1,2,extraction,supporting,success,1,0,,,1,INVALID_OUTPUT,0.858,4. 0.80-0.89,Complete,0,0,0,2311.5,1,0,81
308,20260308,1,1,category suggestion,supporting,success,1,0,,,0,,0.92,5. >= 0.90,,0,,,355.2,1,0,81
309,20260309,8,1,extraction,primary,success,1,0,,,0,,0.901,5. >= 0.90,Needs Review,1,0,1,716.8,1,0,91
310,20260309,8,1,category suggestion,primary,success,1,0,,,0,,0.91,5. >= 0.90,,0,,,392.2,1,0,91
311,20260309,8,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,91
312,20260309,8,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,91
313,20260310,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2988.8,1,0,92
314,20260310,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,306.5,1,0,92
315,20260310,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,92
316,20260310,11,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,92
317,20260311,7,1,extraction,primary,success,1,0,,,0,,0.737,3. 0.70-0.79,Missing Information,1,2,0,758.3,1,0,93
318,20260311,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,217.8,1,0,93
319,20260311,7,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,93
320,20260311,7,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,93
321,20260311,7,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,93
322,20260312,3,1,extraction,primary,success,1,0,,,0,,0.92,5. >= 0.90,Missing Information,1,1,0,1536.9,1,0,94
323,20260312,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,363.5,1,0,94
324,20260312,9,1,extraction,supporting,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,3061.6,1,0,92
325,20260312,9,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,241.8,1,0,92
326,20260312,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,94
327,20260313,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2711.4,1,0,95
328,20260313,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,195.3,1,0,95
329,20260313,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,95
330,20260313,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1111.0,1,0,96
331,20260313,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,256.1,1,0,96
332,20260313,6,1,extraction,primary,success,1,0,,,0,,0.887,4. 0.80-0.89,Complete,0,0,0,721.0,1,0,97
333,20260313,6,1,category suggestion,primary,success,1,0,,,0,,0.4,1. < 0.60,,0,,,184.1,1,0,97
334,20260313,8,1,extraction,primary,success,1,0,,,0,,0.902,5. >= 0.90,Needs Review,1,0,1,749.2,1,0,98
335,20260313,8,1,category suggestion,primary,success,1,0,,,0,,0.92,5. >= 0.90,,0,,,375.3,1,0,98
336,20260313,8,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,98
337,20260313,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,97
338,20260314,3,1,extraction,supporting,success,1,0,,,0,,0.79,3. 0.70-0.79,Needs Review,1,0,0,1477.9,1,0,79
339,20260314,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,325.1,1,0,79
340,20260315,10,3,extraction,supporting,error,0,1,ai provider,AI_UNAVAILABLE,1,PROVIDER_ERROR,,0. no output (error),,0,,,5020.4,1,0,96
341,20260316,9,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,2861.9,1,0,99
342,20260316,9,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,210.5,1,0,99
343,20260316,5,1,extraction,primary,success,1,0,,,0,,0.906,5. >= 0.90,Needs Review,1,0,1,799.1,1,0,100
344,20260316,5,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,203.9,1,0,100
345,20260316,3,1,extraction,primary,success,1,0,,,0,,0.915,5. >= 0.90,Complete,0,0,0,1473.6,1,0,101
346,20260316,3,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,335.2,1,0,101
347,20260316,1,1,extraction,supporting,success,1,0,,,0,,0.887,4. 0.80-0.89,Complete,0,0,0,807.1,1,0,97
348,20260316,1,1,category suggestion,supporting,success,1,0,,,0,,0.4,1. < 0.60,,0,,,329.5,1,0,97
349,20260317,5,2,extraction,primary,success,1,0,,,1,INVALID_OUTPUT,0.826,4. 0.80-0.89,Needs Review,1,0,1,2287.9,1,0,102
350,20260317,5,1,category suggestion,primary,success,1,0,,,0,,0.91,5. >= 0.90,,0,,,216.7,1,0,102
351,20260317,8,1,extraction,primary,success,1,0,,,0,,0.9,5. >= 0.90,Needs Review,1,0,1,717.6,1,0,103
352,20260317,8,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,251.5,1,0,103
353,20260317,1,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,841.7,1,0,104
354,20260317,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,214.9,1,0,104
355,20260317,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,104
356,20260318,3,1,extraction,primary,success,1,0,,,0,,0.736,3. 0.70-0.79,Missing Information,1,1,0,1920.9,1,0,105
357,20260318,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,265.5,1,0,105
358,20260318,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1138.7,1,0,106
359,20260318,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,252.7,1,0,106
360,20260318,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,796.1,1,0,107
361,20260318,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,337.3,1,0,107
362,20260318,2,1,extraction,primary,success,1,0,,,0,,0.912,5. >= 0.90,Complete,0,0,0,1918.0,1,0,108
363,20260318,2,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,212.9,1,0,108
364,20260318,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,108
365,20260319,10,1,extraction,primary,success,1,0,,,0,,0.65,2. 0.60-0.69,Missing Information,1,1,0,4038.1,1,0,109
366,20260319,10,1,category suggestion,primary,success,1,0,,,0,,0.4,1. < 0.60,,0,,,404.1,1,0,109
367,20260319,10,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,109
368,20260319,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,721.9,1,0,110
369,20260319,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,200.7,1,0,110
370,20260319,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,728.1,1,0,111
371,20260319,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,197.8,1,0,111
372,20260319,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,111
373,20260320,8,1,extraction,primary,success,1,0,,,0,,0.9,5. >= 0.90,Needs Review,1,0,1,677.7,1,0,112
374,20260320,8,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,263.7,1,0,112
375,20260321,6,1,extraction,supporting,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,571.3,1,0,100
376,20260321,6,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,390.7,1,0,100
377,20260323,10,1,extraction,primary,success,1,0,,,0,,0.898,4. 0.80-0.89,Complete,0,0,0,4021.9,1,0,113
378,20260323,10,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,270.5,1,0,113
379,20260323,10,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,113
380,20260325,7,1,extraction,primary,success,1,0,,,0,,0.898,4. 0.80-0.89,Missing Information,1,1,0,817.4,1,0,114
381,20260325,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,380.8,1,0,114
382,20260325,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,705.8,1,0,115
383,20260325,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,319.9,1,0,115
384,20260325,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1854.9,1,0,116
385,20260325,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,268.1,1,0,116
386,20260326,3,1,extraction,primary,success,1,0,,,0,,0.897,4. 0.80-0.89,Complete,0,0,0,2202.6,1,0,117
387,20260326,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,245.9,1,0,117
388,20260326,1,1,extraction,primary,success,1,0,,,0,,0.941,5. >= 0.90,Complete,0,0,0,1005.2,1,0,118
389,20260326,1,1,category suggestion,primary,success,1,0,,,0,,0.89,4. 0.80-0.89,,0,,,319.0,1,0,118
390,20260326,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,118
391,20260327,10,1,extraction,supporting,success,1,0,,,0,,0.82,4. 0.80-0.89,Complete,0,0,0,2850.9,1,0,110
392,20260327,10,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,308.8,1,0,110
393,20260327,3,1,extraction,supporting,success,1,0,,,0,,0.79,3. 0.70-0.79,Missing Information,1,1,0,1544.8,1,0,113
394,20260327,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,261.9,1,0,113
395,20260327,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,824.9,1,0,119
396,20260327,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,291.2,1,0,119
397,20260327,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,119
398,20260327,3,1,extraction,primary,success,1,0,,,0,,0.768,3. 0.70-0.79,Missing Information,1,1,0,1897.9,1,0,120
399,20260327,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,335.3,1,0,120
400,20260327,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,120
401,20260328,9,1,extraction,supporting,success,1,0,,,0,,0.912,5. >= 0.90,Complete,0,0,0,2904.4,1,0,108
402,20260328,9,1,category suggestion,supporting,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,205.7,1,0,108
403,20260330,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2853.6,1,0,121
404,20260330,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,400.9,1,0,121
405,20260330,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,121
406,20260331,10,1,extraction,primary,success,1,0,,,0,,0.735,3. 0.70-0.79,Missing Information,1,2,0,4219.4,1,0,122
407,20260331,10,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,376.3,1,0,122
408,20260331,10,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,122
409,20260331,5,1,extraction,primary,success,1,0,,,0,,0.9,5. >= 0.90,Needs Review,1,0,1,903.9,1,0,123
410,20260331,5,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,388.9,1,0,123
411,20260331,5,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,123
412,20260401,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,567.7,1,0,124
413,20260401,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,196.6,1,0,124
414,20260401,9,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,2452.6,1,0,
415,20260401,9,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,308.7,1,0,
416,20260401,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,124
417,20260401,1,2,extraction,primary,success,1,0,,,1,INVALID_OUTPUT,0.861,4. 0.80-0.89,Complete,0,0,0,1980.5,1,0,125
418,20260401,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,223.3,1,0,125
419,20260401,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,125
420,20260401,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1406.6,1,0,126
421,20260401,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,284.6,1,0,126
422,20260401,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,126
423,20260401,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,806.2,1,0,127
424,20260401,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,230.9,1,0,127
425,20260401,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,127
426,20260402,3,1,extraction,primary,success,1,0,,,0,,0.664,2. 0.60-0.69,Missing Information,1,1,0,2119.2,1,0,128
427,20260402,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,184.0,1,0,128
428,20260402,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,128
429,20260402,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,128
430,20260402,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,128
431,20260402,6,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,815.3,1,0,129
432,20260402,6,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,264.3,1,0,129
433,20260402,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,129
434,20260403,7,1,extraction,primary,success,1,0,,,0,,0.898,4. 0.80-0.89,Missing Information,1,1,0,698.6,1,0,130
435,20260403,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,208.3,1,0,130
436,20260403,1,2,extraction,primary,success,1,0,,,1,PROVIDER_ERROR,0.856,4. 0.80-0.89,Complete,0,0,0,1275.3,1,0,131
437,20260403,1,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,206.3,1,0,131
438,20260403,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,801.5,1,0,
439,20260403,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,275.8,1,0,
440,20260403,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,131
441,20260403,2,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,1785.0,1,0,132
442,20260403,2,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,201.6,1,0,132
443,20260404,1,1,extraction,supporting,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,1144.3,1,0,129
444,20260404,1,1,category suggestion,supporting,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,304.4,1,0,129
445,20260404,9,1,extraction,supporting,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,2457.2,1,0,131
446,20260404,9,1,category suggestion,supporting,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,321.2,1,0,131
447,20260405,3,1,extraction,supporting,success,1,0,,,0,,0.818,4. 0.80-0.89,Complete,0,0,0,1986.2,1,0,115
448,20260405,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,385.0,1,0,115
449,20260406,7,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Missing Information,1,1,0,760.6,1,0,133
450,20260406,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,190.3,1,0,133
451,20260406,7,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,133
452,20260406,7,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.6,0,0,133
453,20260406,1,1,extraction,supporting,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,763.1,1,0,122
454,20260406,1,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,250.4,1,0,122
455,20260406,1,1,extraction,primary,success,1,0,,,0,,0.937,5. >= 0.90,Complete,0,0,0,914.0,1,0,134
456,20260406,1,1,category suggestion,primary,success,1,0,,,0,,0.85,4. 0.80-0.89,,0,,,266.6,1,0,134
457,20260407,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1774.3,1,0,135
458,20260407,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,222.6,1,0,135
459,20260407,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,135
460,20260407,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,135
461,20260407,3,1,extraction,primary,success,1,0,,,0,,0.84,4. 0.80-0.89,Missing Information,1,1,0,2277.9,1,0,136
462,20260407,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,216.9,1,0,136
463,20260407,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,790.3,1,0,137
464,20260407,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,238.5,1,0,137
465,20260407,1,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,1023.1,1,0,138
466,20260407,1,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,361.8,1,0,138
467,20260407,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,138
468,20260407,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,135
469,20260407,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,137
470,20260407,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,740.8,1,0,139
